Name,ViewUrl,HomeUrl,Description,DescriptionSourceUrl,Author,ForumUrl,IssuesUrl,EmailAddress,DonateUrl
280 Blocker,https://70i.net/files/70i_net_adblock.txt,https://70i.net/,Blocks Japanese regional mobile advertisements and trackers.,,,,,,
AakList (Anti-Adblock Killer),https://raw.githubusercontent.com/reek/anti-adblock-killer/master/anti-adblock-killer-filters.txt,https://github.com/reek/anti-adblock-killer/,"Helps you keep your Ad-Blocker active, when you visit a website and it asks you to disable. Composed of a user script «AakScript» written in javascript and a filter list «AakList» using the same syntax as lists AdBlock and AdBlock Plus, the two are complementary and unlock different website.",https://github.com/reek/anti-adblock-killer/,,,https://github.com/reek/anti-adblock-killer/issues,,https://github.com/reek/anti-adblock-killer/#donate
ABP Japanese 3rd Party SNS Filters,https://raw.githubusercontent.com/k2jp/abp-japanese-filters/master/abpjf_3rd_party_sns.txt,https://github.com/k2jp/abp-japanese-filters,Blocks Japanese regional social network advertisements and trackers.,,,,https://github.com/k2jp/abp-japanese-filters/issues,,
ABP Japanese Element-hiding Filters,https://raw.githubusercontent.com/k2jp/abp-japanese-filters/master/abpjf_element_hiding.txt,https://github.com/k2jp/abp-japanese-filters,Blocks irritating elements on Japanese regional webpages.,,,,https://github.com/k2jp/abp-japanese-filters/issues,,
ABP Japanese Filters,https://raw.githubusercontent.com/k2jp/abp-japanese-filters/master/abpjf.txt,https://github.com/k2jp/abp-japanese-filters,Blocks Japanese regional advertisements and trackers.,,,,https://github.com/k2jp/abp-japanese-filters/issues,,
ABP Japanese Paranoid Filters,https://raw.githubusercontent.com/k2jp/abp-japanese-filters/master/abpjf_paranoid.txt,https://github.com/k2jp/abp-japanese-filters,Blocks Japanese regional advertisements and trackers.,,,,https://github.com/k2jp/abp-japanese-filters/issues,,
ABP X Files,http://noads.it/filtri.txt,http://noads.it/,"Specific for Italian websites but with an eye also to the most visited international, is the main form and the list officially recognized (for Italy), perfectly compatible with AdBlock Plus.",https://github.com/gioxx/xfiles,,https://abpxfiles.uservoice.com/,https://github.com/gioxx/xfiles/issues,,https://paypal.me/gioxx/5
ABPindo,https://raw.githubusercontent.com/heradhis/indonesianadblockrules/master/subscriptions/abpindo.txt,http://abpindo.blogspot.com/,ABPindo is an affiliated filter list written by hermawan that specifically removes adverts on Indonesian language websites.,https://easylist.to/pages/other-supplementary-filter-lists-and-easylist-variants.html,,https://forums.lanik.us/viewforum.php?f=94,https://github.com/ABPindo/indonesianadblockrules/issues,,
ABPindo + EasyList,https://easylist-downloads.adblockplus.org/abpindo+easylist.txt,,"A list combining <a href=""https://filterlists.com/#ABPindo"">ABPindo</a> and <a href=""https://filterlists.com/#EasyList"">EasyList</a>.",,,,,,
ABPVN List,https://raw.githubusercontent.com/abpvn/abpvn/master/filter/abpvn.txt,https://abpvn.com,"The ABP advertising filter is built with the mission of improving the browsing experience for the vietnamese users. ABPVN may not help block all ads, but ABPVN will minimize the appearance of ads on most websites in Vietnam.",https://abpvn.com,,http://www.vn-zoom.com/f77/abp-bo-loc-quang-cao-cho-nguoi-viet-2856275.html,,support@abpvn.com,https://abpvn.com/napthe
abuse.ch Feodo BadIP Blocklist,https://feodotracker.abuse.ch/blocklist/?download=badips,https://feodotracker.abuse.ch/blocklist/,"The Feodo Tracker Feodo BadIP Blocklist only contains IP addresses (IPv4) used as C&C communication channel by the Feodo Trojan version B. These IP addresses are usually servers rented by cybercriminals directly and used for the exclusive purpose of hosting a Feodo C&C server. Hence you should expect no legit traffic to those IP addresses. I highly recommend you to block/drop any traffic towards any Feodo C&C using the Feodo BadIP Blocklist. Please consider that this blocklist only contains IP addresses used by version B of the Feodo Trojan. C&C communication channels used by version A, version C and version D are not covered by this blocklist.",https://feodotracker.abuse.ch/blocklist/,,,,contactme@abuse.ch,
abuse.ch Feodo Domain Blocklist,https://feodotracker.abuse.ch/blocklist/?download=domainblocklist,https://feodotracker.abuse.ch/blocklist/,"The Feodo Tracker Feodo Domain Blocklist contains domain names (FQDN) used as C&C communication channel by the Feodo Trojan. These domains names are usually registered and operated by cybercriminals for the exclusive purpose of hosting a Feodo botnet controller. Hence you should expect no legit traffic to those domains. I highly recommend you to block/drop any traffic towards any Feodo C&C domain by using the Feodo Domain Blocklist. Please consider that domain names are usually only used by version B of the Feodo Trojan. C&C communication channels used by version A, version C and version D are not covered by this blocklist.",https://feodotracker.abuse.ch/blocklist/,,,,contactme@abuse.ch,
abuse.ch Feodo IP Blocklist,https://feodotracker.abuse.ch/blocklist/?download=ipblocklist,https://feodotracker.abuse.ch/blocklist/,"The Feodo Tracker Feodo IP Blocklist contains IP addresses (IPv4) used as C&C communication channel by the Feodo Trojan. This lists contains two types of IP address: Feodo C&C servers used by version A, version C and version D of the Feodo Trojan (these IP addresses are usually compromised servers running an nginx daemon on port 8080 TCP or 7779 TCP that is acting as proxy, forwarding all traffic to a tier 2 proxy node) and Feodo C&C servers used by version B which are usually used for the exclusive purpose of hosting a Feodo C&C server. Attention: Since Feodo C&C servers associated with version A, version C and version D are usually hosted on compromised servers, its likely that you also block/drop legit traffic e.g. towards websites hosted on a certain IP address acting as Feodo C&C for version A, version C and version D. If you only want to block/drop traffic to Feodo C&C servers hosted on bad IPs (version B), please use the blocklist BadIPs documented below.",https://feodotracker.abuse.ch/blocklist/,,,,contactme@abuse.ch,
abuse.ch ZeuS Compromised URL Blocklist,https://zeustracker.abuse.ch/blocklist.php?download=compromised,https://zeustracker.abuse.ch/blocklist.php,This blocklist only contains compromised / hijacked websites (level 2) which are being abused by cybercriminals to host a ZeuS botnet controller.,https://zeustracker.abuse.ch/blocklist.php,,,,contactme@abuse.ch,https://zeustracker.abuse.ch/faq.php
abuse.ch ZeuS Domain Blocklist,https://zeustracker.abuse.ch/blocklist.php?download=domainblocklist,https://zeustracker.abuse.ch/blocklist.php,This blocklist contains all domain names associated with ZeuS C&Cs which are currently being tracked by ZeuS Tracker.,https://zeustracker.abuse.ch/blocklist.php,,,,contactme@abuse.ch,https://zeustracker.abuse.ch/faq.php
"abuse.ch ZeuS Domain Blocklist ""BadDomains""",https://zeustracker.abuse.ch/blocklist.php?download=baddomains,https://zeustracker.abuse.ch/blocklist.php,The ZeuS domain blocklist (BadDomains) is the recommended blocklist if you want to block only ZeuS domain names. It excludes domain names that ZeuS Tracker believes to be hijacked (level 2).,https://zeustracker.abuse.ch/blocklist.php,,,,contactme@abuse.ch,https://zeustracker.abuse.ch/faq.php
abuse.ch ZeuS IP Blocklist,https://zeustracker.abuse.ch/blocklist.php?download=ipblocklist,https://zeustracker.abuse.ch/blocklist.php,This blocklist contains all IPv4 addresses associated with ZeuS C&Cswhich are currently being tracked by ZeuS Tracker.,https://zeustracker.abuse.ch/blocklist.php,,,,contactme@abuse.ch,https://zeustracker.abuse.ch/faq.php
"abuse.ch ZeuS IP Blocklist ""BadIPs""",https://zeustracker.abuse.ch/blocklist.php?download=badips,https://zeustracker.abuse.ch/blocklist.php,This blocklists only includes IPv4 addresses that are used by the ZeuS trojan. It is the recommened blocklist if you want to block only ZeuS IPs. It excludes IP addresses that ZeuS Tracker believes to be hijacked (level 2) or belong to a free web hosting provider (level 3).,https://zeustracker.abuse.ch/blocklist.php,,,,contactme@abuse.ch,https://zeustracker.abuse.ch/faq.php
Acceptable Ads,https://easylist-downloads.adblockplus.org/exceptionrules.txt,https://acceptableads.com/,Allow non-intrusive advertising.,https://easylist-downloads.adblockplus.org/exceptionrules.txt,,,,info@eyeo.com,
AdAway,https://adaway.org/hosts.txt,https://adaway.org/,Blocking mobile ad providers and some analytics providers.,https://adaway.org/hosts.txt,,http://forum.xda-developers.com/showthread.php?t=2190753,https://github.com/AdAway/AdAway/issues,,https://www.paypal.com/cgi-bin/webscr?cmd=_donations&business=dominik%40sufficientlysecure.org&lc=US&item_name=AdAway%20Donation&no_note=0&no_shipping=1&currency_code=EUR
AdAway Blocking Hosts File for Japan,https://sites.google.com/site/logroid/files/hosts.txt,https://logroid.blogspot.com/,Blocks Japanese regional advertisements and trackers.,,,,,,
