Id,"CreatedDateUtc","Iso6391","Iso6392","Iso6392B","Iso6392T","Iso6393","LocalName","ModifiedDateUtc","Name"
1,"2017-10-28 15:01:29","ab","abk","abk","abk","abk","Аҧсуа","2017-10-28 15:01:29","Abkhaz"
2,"2017-10-28 15:01:29","oc","oci","oci","oci","oci","Occitan","2017-10-28 15:01:29","Occitan"
3,"2017-10-28 15:01:29","oj","oji","oji","oji","oji","ᐊᓂᔑᓈᐯᒧᐎᓐ","2017-10-28 15:01:29","Ojibwe"
4,"2017-10-28 15:01:29","cu","chu","chu","chu","chu","Словѣ́ньскъ","2017-10-28 15:01:29","Old Church Slavonic"
5,"2017-10-28 15:01:29","om","orm","orm","orm","orm","Afaan Oromoo","2017-10-28 15:01:29","Oromo"
6,"2017-10-28 15:01:29","or","ori","ori","ori","ori","ଓଡି଼ଆ","2017-10-28 15:01:29","Oriya"
7,"2017-10-28 15:01:29","os","oss","oss","oss","oss","Ирон æвзаг","2017-10-28 15:01:29","Ossetian"
8,"2017-10-28 15:01:29","pa","pan","pan","pan","pan","ਪੰਜਾਬੀ","2017-10-28 15:01:29","Panjabi"
9,"2017-10-28 15:01:29","pi","pli","pli","pli","pli","पाऴि","2017-10-28 15:01:29","Pāli"
10,"2017-10-28 15:01:29","fa","fas","per","fas","fas","فارسی","2017-10-28 15:01:29","Persian"
11,"2017-10-28 15:01:29","pl","pol","pol","pol","pol","Polski","2017-10-28 15:01:29","Polish"
12,"2017-10-28 15:01:29","ps","pus","pus","pus","pus","پښتو","2017-10-28 15:01:29","Pashto"
13,"2017-10-28 15:01:29","pt","por","por","por","por","Português","2017-10-28 15:01:29","Portuguese"
14,"2017-10-28 15:01:29","qu","que","que","que","que","Runa Simi","2017-10-28 15:01:29","Quechua"
15,"2017-10-28 15:01:29","rm","roh","roh","roh","roh","Rumantsch","2017-10-28 15:01:29","Romansh"
16,"2017-10-28 15:01:29","rn","run","run","run","run","Kirundi","2017-10-28 15:01:29","Kirundi"
17,"2017-10-28 15:01:29","ro","ron","rum","ron","ron","Română","2017-10-28 15:01:29","Romanian"
18,"2017-10-28 15:01:29","ru","rus","rus","rus","rus","Русский","2017-10-28 15:01:29","Russian"
19,"2017-10-28 15:01:29","sa","san","san","san","san","संस्कृतम्","2017-10-28 15:01:29","Sanskrit"
